t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns,observer_error_deg,observer_error_age
3.049303100000543,0.0,1200,26.6,-51.4,2.03,0.04,-1.96,1.9,0.022,1222,25.2,0,63.698732,1.3799995940644294e-05,1229.404750061222,20.208862344444437,-82.71824,0.0003645999968284741
3.0757003000035184,0.0,1200,26.6,-51.3,2.51,0.04,-1.93,1.98,0.022,1222,25.2,0,160.642096,1.2299999070819467e-05,1226.695881305594,20.47814946666666,66.40298,0.0004533000028459355
3.1023910000003525,0.0,1200,26.6,-51.1,1.92,0.04,-1.93,1.91,0.022,1221,25.2,0,259.409184,3.100000321865082e-05,1228.690283613308,20.752502488888883,-82.68969,0.00033350000012433156
3.128936600005545,0.0,1200,26.6,-51.1,2.67,0.04,-1.91,1.92,0.023,1222,25.2,0,357.121568,1.189999602502212e-05,1227.9267470412183,21.023925777777773,67.56088,0.00037849999353056774
3.158083300004364,0.0,1200,26.6,-51.4,1.7,0.04,-1.95,1.96,0.022,1220,25.2,0,96.064456,3.609999839682132e-05,1206.1126000174702,21.298767133333328,179.25712,0.0023071000032359734
3.184983300001477,0.0,1200,26.6,-51.3,2.49,0.04,-1.96,1.91,-0.022,1222,25.2,0,202.829584,2.540000423323363e-05,1226.4657756271479,21.59533693333333,-38.39968,0.0003615000023273751
3.2119476000007126,0.0,1200,26.6,-51.1,1.97,0.04,-1.89,1.96,0.022,1221,25.2,0,302.014176,1.6199999663513154e-05,1226.6982973896727,21.870849688888885,177.45832,0.00017410000145900995
3.2391171000053873,0.0,1200,26.6,-51.3,2.4,0.04,-1.99,1.91,0.021,1221,25.2,0,41.748048,1.9400002202019095e-05,1224.4719041314343,22.147888222222218,-44.52905,0.0004088000059709884
3.2656975999998394,0.0,1200,26.6,-51.3,2.19,0.04,-1.9,1.99,0.023,1219,25.2,0,138.581536,1.809999957913533e-05,1222.3420724952095,22.41687013333333,116.35458,0.0003361999988555908
3.2924760000023525,0.0,1200,26.6,-51.2,1.91,0.04,-1.95,1.89,0.022,1219,25.2,0,237.634272,2.0500003302004188e-05,1243.8413402281215,22.69201662222222,-56.7251,0.0003167999966535717
